ID,Assignments (100),Midterm (100),Final (100),Assignments (30%),Midterm (35%),Final (35%),Total (100%),Grade,Range,Total of A,Assignment of A,Midterm of A,Final of A,Assignment A (30),Midterm 30,final 35,Assignment B (30),Midterm B 30,final 35,meanA,meanB+,meanB,meanC+,meanC,meanD+,meanD,meanF
XX01001,87,57,60,26.1,19.95,21,67,C+,61-70, , , , , , , , , , , , , ,67, , , , 
XX01002,17,93,80,5.1,32.55,28,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX01003,50,47,40,15,16.45,14,45,F,41-50, , , , , , , ,15,16.45,14, , , , , , , ,45
XX01004,97,37,62,29.1,12.95,21.7,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX01005,13,83,0,3.9,29.05,0,33,F,31-40, , , , , , , ,3.9,29.05,0, , , , , , , ,33
XX01006,70,3,40,21,1.05,14,36,F,31-40, , , , , , , ,21,1.05,14, , , , , , , ,36
XX01007,87,60,0,26.1,21,0,47,F,41-50, , , , , , , ,26.1,21,0, , , , , , , ,47
XX01008,33,37,80,9.9,12.95,28,51,D,51-60, , , , ,9.9,12.95,28, , , , , , , , , ,51, 
XX01009,27,77,2,8.1,26.95,0.7,36,F,31-40, , , , , , , ,8.1,26.95,0.7, , , , , , , ,36
XX01010,27,3,25,8.1,1.05,8.75,18,F,11-20, , , , , , , ,8.1,1.05,8.75, , , , , , , ,18
XX01011,17,43,18,5.1,15.05,6.3,26,F,21-30, , , , , , , ,5.1,15.05,6.3, , , , , , , ,26
XX01012,70,27,82,21,9.45,28.7,59,D+,51-60, , , , , , , , , , , , , , , ,59, , 
XX01013,40,13,28,12,4.55,9.8,26,F,21-30, , , , , , , ,12,4.55,9.8, , , , , , , ,26
XX01014,0,40,75,0,14,26.25,40,F,31-40, , , , , , , ,0,14,26.25, , , , , , , ,40
XX01015,37,43,30,11.1,15.05,10.5,37,F,31-40, , , , , , , ,11.1,15.05,10.5, , , , , , , ,37
XX01016,20,67,30,6,23.45,10.5,40,F,31-40, , , , , , , ,6,23.45,10.5, , , , , , , ,40
XX01017,10,63,0,3,22.05,0,25,F,21-30, , , , , , , ,3,22.05,0, , , , , , , ,25
XX01018,7,57,78,2.1,19.95,27.3,49,F,41-50, , , , , , , ,2.1,19.95,27.3, , , , , , , ,49
XX01019,87,100,8,26.1,35,2.8,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX01020,70,97,80,21,33.95,28,83,A,81-90,83,70,97,80, , , , , , ,83, , , , , , , 
XX01021,83,100,50,24.9,35,17.5,77,B+,71-80, , , , , , , , , , , ,77, , , , , , 
XX01022,23,3,45,6.9,1.05,15.75,24,F,21-30, , , , , , , ,6.9,1.05,15.75, , , , , , , ,24
XX01023,30,40,32,9,14,11.2,34,F,31-40, , , , , , , ,9,14,11.2, , , , , , , ,34
XX01024,53,43,95,15.9,15.05,33.25,64,C,61-70, , , , , , , , , , , , , , ,64, , , 
XX01025,60,60,32,18,21,11.2,50,D,41-50, , , , ,18,21,11.2, , , , , , , , , ,50, 
XX01026,13,63,80,3.9,22.05,28,54,D,51-60, , , , ,3.9,22.05,28, , , , , , , , , ,54, 
XX01027,73,30,30,21.9,10.5,10.5,43,F,41-50, , , , , , , ,21.9,10.5,10.5, , , , , , , ,43
XX01028,17,67,2,5.1,23.45,0.7,29,F,21-30, , , , , , , ,5.1,23.45,0.7, , , , , , , ,29
XX01029,17,10,40,5.1,3.5,14,23,F,21-30, , , , , , , ,5.1,3.5,14, , , , , , , ,23
XX01030,57,7,40,17.1,2.45,14,34,F,31-40, , , , , , , ,17.1,2.45,14, , , , , , , ,34
XX01031,0,0,52,0,0,18.2,18,F,11-20, , , , , , , ,0,0,18.2, , , , , , , ,18
XX01032,50,53,45,15,18.55,15.75,49,F,41-50, , , , , , , ,15,18.55,15.75, , , , , , , ,49
XX01033,3,70,75,0.9,24.5,26.25,52,D,51-60, , , , ,0.9,24.5,26.25, , , , , , , , , ,52, 
XX01034,0,33,22,0,11.55,7.7,19,F,11-20, , , , , , , ,0,11.55,7.7, , , , , , , ,19
XX01035,87,67,8,26.1,23.45,2.8,52,D,51-60, , , , ,26.1,23.45,2.8, , , , , , , , , ,52, 
XX01036,87,3,50,26.1,1.05,17.5,45,F,41-50, , , , , , , ,26.1,1.05,17.5, , , , , , , ,45
XX01037,60,20,65,18,7,22.75,48,F,41-50, , , , , , , ,18,7,22.75, , , , , , , ,48
XX01038,47,7,55,14.1,2.45,19.25,36,F,31-40, , , , , , , ,14.1,2.45,19.25, , , , , , , ,36
XX01039,27,3,80,8.1,1.05,28,37,F,31-40, , , , , , , ,8.1,1.05,28, , , , , , , ,37
XX01040,50,0,10,15,0,3.5,19,F,11-20, , , , , , , ,15,0,3.5, , , , , , , ,19
XX01041,100,30,12,30,10.5,4.2,45,F,41-50, , , , , , , ,30,10.5,4.2, , , , , , , ,45
XX01042,17,20,90,5.1,7,31.5,44,F,41-50, , , , , , , ,5.1,7,31.5, , , , , , , ,44
XX01043,40,30,22,12,10.5,7.7,30,F,21-30, , , , , , , ,12,10.5,7.7, , , , , , , ,30
XX01044,43,0,52,12.9,0,18.2,31,F,31-40, , , , , , , ,12.9,0,18.2, , , , , , , ,31
XX01045,67,60,85,20.1,21,29.75,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX01046,20,90,82,6,31.5,28.7,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX01047,93,37,32,27.9,12.95,11.2,52,D,51-60, , , , ,27.9,12.95,11.2, , , , , , , , , ,52, 
XX01048,47,27,25,14.1,9.45,8.75,32,F,31-40, , , , , , , ,14.1,9.45,8.75, , , , , , , ,32
XX01049,63,20,60,18.9,7,21,47,F,41-50, , , , , , , ,18.9,7,21, , , , , , , ,47
XX01050,3,13,20,0.9,4.55,7,12,F,11-20, , , , , , , ,0.9,4.55,7, , , , , , , ,12
XX01051,10,53,8,3,18.55,2.8,24,F,21-30, , , , , , , ,3,18.55,2.8, , , , , , , ,24
XX01052,100,50,82,30,17.5,28.7,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX01053,43,60,55,12.9,21,19.25,53,D,51-60, , , , ,12.9,21,19.25, , , , , , , , , ,53, 
XX01054,20,97,40,6,33.95,14,54,D,51-60, , , , ,6,33.95,14, , , , , , , , , ,54, 
XX01055,53,47,52,15.9,16.45,18.2,51,D,51-60, , , , ,15.9,16.45,18.2, , , , , , , , , ,51, 
XX01056,3,27,22,0.9,9.45,7.7,18,F,11-20, , , , , , , ,0.9,9.45,7.7, , , , , , , ,18
XX01057,43,73,50,12.9,25.55,17.5,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX01058,40,53,100,12,18.55,35,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX01059,20,70,20,6,24.5,7,38,F,31-40, , , , , , , ,6,24.5,7, , , , , , , ,38
XX01060,53,0,50,15.9,0,17.5,33,F,31-40, , , , , , , ,15.9,0,17.5, , , , , , , ,33
XX01061,27,87,92,8.1,30.45,32.2,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX01062,40,63,75,12,22.05,26.25,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX01063,77,30,12,23.1,10.5,4.2,38,F,31-40, , , , , , , ,23.1,10.5,4.2, , , , , , , ,38
XX01064,47,73,75,14.1,25.55,26.25,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX01065,60,7,48,18,2.45,16.8,37,F,31-40, , , , , , , ,18,2.45,16.8, , , , , , , ,37
XX01066,73,73,62,21.9,25.55,21.7,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX01067,67,60,22,20.1,21,7.7,49,F,41-50, , , , , , , ,20.1,21,7.7, , , , , , , ,49
XX01068,80,67,70,24,23.45,24.5,72,B,71-80, , , , , , , , , , , , ,72, , , , , 
XX01069,47,87,90,14.1,30.45,31.5,76,B+,71-80, , , , , , , , , , , ,76, , , , , , 
XX01070,37,53,78,11.1,18.55,27.3,57,D+,51-60, , , , , , , , , , , , , , , ,57, , 
XX01071,3,73,18,0.9,25.55,6.3,33,F,31-40, , , , , , , ,0.9,25.55,6.3, , , , , , , ,33
XX01072,67,20,95,20.1,7,33.25,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX01073,73,97,95,21.9,33.95,33.25,89,A,81-90,89,73,97,95, , , , , , ,89, , , , , , , 
XX01074,57,37,65,17.1,12.95,22.75,53,D,51-60, , , , ,17.1,12.95,22.75, , , , , , , , , ,53, 
XX01075,27,73,50,8.1,25.55,17.5,51,D,51-60, , , , ,8.1,25.55,17.5, , , , , , , , , ,51, 
XX01076,67,3,60,20.1,1.05,21,42,F,41-50, , , , , , , ,20.1,1.05,21, , , , , , , ,42
XX01077,33,43,20,9.9,15.05,7,32,F,31-40, , , , , , , ,9.9,15.05,7, , , , , , , ,32
XX01078,37,93,32,11.1,32.55,11.2,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX01079,53,53,100,15.9,18.55,35,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX01080,67,53,65,20.1,18.55,22.75,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX01081,7,67,82,2.1,23.45,28.7,54,D,51-60, , , , ,2.1,23.45,28.7, , , , , , , , , ,54, 
XX01082,37,20,65,11.1,7,22.75,41,F,41-50, , , , , , , ,11.1,7,22.75, , , , , , , ,41
XX01083,53,67,85,15.9,23.45,29.75,69,C+,61-70, , , , , , , , , , , , , ,69, , , , 
XX01084,33,30,60,9.9,10.5,21,41,F,41-50, , , , , , , ,9.9,10.5,21, , , , , , , ,41
XX01085,77,17,70,23.1,5.95,24.5,54,D,51-60, , , , ,23.1,5.95,24.5, , , , , , , , , ,54, 
XX01086,80,10,2,24,3.5,0.7,28,F,21-30, , , , , , , ,24,3.5,0.7, , , , , , , ,28
XX01087,0,97,55,0,33.95,19.25,53,D,51-60, , , , ,0,33.95,19.25, , , , , , , , , ,53, 
XX01088,67,73,85,20.1,25.55,29.75,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX01089,33,17,100,9.9,5.95,35,51,D,51-60, , , , ,9.9,5.95,35, , , , , , , , , ,51, 
XX01090,13,13,60,3.9,4.55,21,29,F,21-30, , , , , , , ,3.9,4.55,21, , , , , , , ,29
XX01091,33,100,50,9.9,35,17.5,62,C,61-70, , , , , , , , , , , , , , ,62, , , 
XX01092,0,50,78,0,17.5,27.3,45,F,41-50, , , , , , , ,0,17.5,27.3, , , , , , , ,45
XX01093,63,27,38,18.9,9.45,13.3,42,F,41-50, , , , , , , ,18.9,9.45,13.3, , , , , , , ,42
XX01094,63,33,70,18.9,11.55,24.5,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX01095,37,33,68,11.1,11.55,23.8,46,F,41-50, , , , , , , ,11.1,11.55,23.8, , , , , , , ,46
XX01096,97,43,48,29.1,15.05,16.8,61,C,61-70, , , , , , , , , , , , , , ,61, , , 
XX01097,63,70,48,18.9,24.5,16.8,60,C,51-60, , , , , , , , , , , , , , ,60, , , 
XX01098,73,100,18,21.9,35,6.3,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX01099,67,7,2,20.1,2.45,0.7,23,F,21-30, , , , , , , ,20.1,2.45,0.7, , , , , , , ,23
XX01100,0,17,82,0,5.95,28.7,35,F,31-40, , , , , , , ,0,5.95,28.7, , , , , , , ,35
XX01101,3,87,98,0.9,30.45,34.3,66,C+,61-70, , , , , , , , , , , , , ,66, , , , 
XX01102,3,17,35,0.9,5.95,12.25,19,F,11-20, , , , , , , ,0.9,5.95,12.25, , , , , , , ,19
XX01103,57,97,85,17.1,33.95,29.75,81,A,81-90,81,57,97,85, , , , , , ,81, , , , , , , 
XX01104,17,3,78,5.1,1.05,27.3,33,F,31-40, , , , , , , ,5.1,1.05,27.3, , , , , , , ,33
XX01105,43,43,78,12.9,15.05,27.3,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX01106,53,50,12,15.9,17.5,4.2,38,F,31-40, , , , , , , ,15.9,17.5,4.2, , , , , , , ,38
XX01107,13,33,95,3.9,11.55,33.25,49,F,41-50, , , , , , , ,3.9,11.55,33.25, , , , , , , ,49
XX01108,37,17,42,11.1,5.95,14.7,32,F,31-40, , , , , , , ,11.1,5.95,14.7, , , , , , , ,32
XX01109,10,77,2,3,26.95,0.7,31,F,31-40, , , , , , , ,3,26.95,0.7, , , , , , , ,31
XX01110,73,0,22,21.9,0,7.7,30,F,21-30, , , , , , , ,21.9,0,7.7, , , , , , , ,30
XX01111,20,3,60,6,1.05,21,28,F,21-30, , , , , , , ,6,1.05,21, , , , , , , ,28
XX01112,80,63,48,24,22.05,16.8,63,C,61-70, , , , , , , , , , , , , , ,63, , , 
XX01113,83,33,95,24.9,11.55,33.25,70,B,61-70, , , , , , , , , , , , ,70, , , , , 
XX01114,93,90,60,27.9,31.5,21,80,A,71-80,80,93,90,60, , , , , , ,80, , , , , , , 
XX01115,90,63,92,27,22.05,32.2,81,A,81-90,81,90,63,92, , , , , , ,81, , , , , , , 
XX01116,83,43,8,24.9,15.05,2.8,43,F,41-50, , , , , , , ,24.9,15.05,2.8, , , , , , , ,43
XX01117,53,37,8,15.9,12.95,2.8,32,F,31-40, , , , , , , ,15.9,12.95,2.8, , , , , , , ,32
XX01118,93,97,78,27.9,33.95,27.3,89,A,81-90,89,93,97,78, , , , , , ,89, , , , , , , 
XX01119,37,27,75,11.1,9.45,26.25,47,F,41-50, , , , , , , ,11.1,9.45,26.25, , , , , , , ,47
XX01120,90,23,57,27,8.05,19.95,55,D+,51-60, , , , , , , , , , , , , , , ,55, , 
XX01121,50,63,55,15,22.05,19.25,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX01122,60,87,5,18,30.45,1.75,50,D,41-50, , , , ,18,30.45,1.75, , , , , , , , , ,50, 
XX01123,13,60,12,3.9,21,4.2,29,F,21-30, , , , , , , ,3.9,21,4.2, , , , , , , ,29
XX01124,100,57,18,30,19.95,6.3,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX01125,60,23,80,18,8.05,28,54,D,51-60, , , , ,18,8.05,28, , , , , , , , , ,54, 
XX01126,90,50,68,27,17.5,23.8,68,C+,61-70, , , , , , , , , , , , , ,68, , , , 
XX01127,60,70,82,18,24.5,28.7,71,B,71-80, , , , , , , , , , , , ,71, , , , , 
XX01128,97,50,95,29.1,17.5,33.25,80,A,71-80,80,97,50,95, , , , , , ,80, , , , , , , 
XX01129,80,73,0,24,25.55,0,50,D,41-50, , , , ,24,25.55,0, , , , , , , , , ,50, 
XX01130,23,100,20,6.9,35,7,49,F,41-50, , , , , , , ,6.9,35,7, , , , , , , ,49
XX01131,23,23,25,6.9,8.05,8.75,24,F,21-30, , , , , , , ,6.9,8.05,8.75, , , , , , , ,24
XX01132,37,7,78,11.1,2.45,27.3,41,F,41-50, , , , , , , ,11.1,2.45,27.3, , , , , , , ,41
XX01133,73,0,38,21.9,0,13.3,35,F,31-40, , , , , , , ,21.9,0,13.3, , , , , , , ,35
XX01134,87,63,78,26.1,22.05,27.3,75,B+,71-80, , , , , , , , , , , ,75, , , , , , 
XX01135,97,30,38,29.1,10.5,13.3,53,D,51-60, , , , ,29.1,10.5,13.3, , , , , , , , , ,53, 
XX01136,47,13,42,14.1,4.55,14.7,33,F,31-40, , , , , , , ,14.1,4.55,14.7, , , , , , , ,33
XX01137,3,40,8,0.9,14,2.8,18,F,11-20, , , , , , , ,0.9,14,2.8, , , , , , , ,18
XX01138,57,13,98,17.1,4.55,34.3,56,D+,51-60, , , , , , , , , , , , , , , ,56, , 
XX01139,40,77,75,12,26.95,26.25,65,C+,61-70, , , , , , , , , , , , , ,65, , , , 
XX01140,10,17,40,3,5.95,14,23,F,21-30, , , , , , , ,3,5.95,14, , , , , , , ,23
XX01141,13,70,42,3.9,24.5,14.7,43,F,41-50, , , , , , , ,3.9,24.5,14.7, , , , , , , ,43
XX01142,80,23,2,24,8.05,0.7,33,F,31-40, , , , , , , ,24,8.05,0.7, , , , , , , ,33
XX01143,30,37,5,9,12.95,1.75,24,F,21-30, , , , , , , ,9,12.95,1.75, , , , , , , ,24
XX01144,40,40,30,12,14,10.5,37,F,31-40, , , , , , , ,12,14,10.5, , , , , , , ,37
XX01145,63,23,42,18.9,8.05,14.7,42,F,41-50, , , , , , , ,18.9,8.05,14.7, , , , , , , ,42
XX01146,100,97,55,30,33.95,19.25,83,A,81-90,83,100,97,55, , , , , , ,83, , , , , , , 
XX01147,47,50,0,14.1,17.5,0,32,F,31-40, , , , , , , ,14.1,17.5,0, , , , , , , ,32
